Year,Region,Commodity,Distance,Function,Status,Num_employee,Employee_hour,Hours_office,Hours_operation,Hours_other,Safety_cost,Num_accidents
2017,7,1,0,1,4,9,7380.35,1853.58,5526.77,0,2.71,0
2020,34,1,0,1,4,2,145.65,0,145.65,0,3.43,0
2019,38,4,0,3,1,3,1109.61,0,0,1109.61,1.97,0
2020,44,5,0,4,3,20,56601.45,7138.93,30303.71,19158.82,1.24,3
2018,26,1,0,1,4,2,915.23,0,915.23,0,3.35,0
2019,46,4,0,4,6,13,3810.53,0,3810.53,0,3.12,0
2017,28,1,0,1,3,3,6603.64,0,6603.64,0,3.01,0
2020,31,1,0,1,6,6,3130.73,1565.37,1565.37,0,2.67,0
2019,23,1,0,1,4,2,89.68,3.74,85.94,0,1.93,0
2020,27,5,0,4,3,7,16774.17,2478.25,14295.92,0,0.01,0
2019,10,2,0,3,3,129,294152.65,11176.1,0,282976.55,0.83,0
2018,24,5,0,4,3,16,36564.68,3179.28,33385.4,0,0.64,0
2017,12,1,0,1,4,3,5272.95,1551.63,3721.32,0,2.63,0
2019,17,4,3.43,4,7,9,19193.4,0,19193.4,0,3.9,0
2018,46,4,3.5,4,1,13,5882.21,0,5882.21,0,3.83,0
2018,34,2,0,4,6,2,851.45,195.79,655.66,0,0.8,0
2019,48,1,0,1,3,16,32666.49,7646.65,25019.84,0,1.77,0
2019,45,1,0,1,3,9,17623.84,0,17623.84,0,1.35,0
2019,42,3,0,4,4,5,5492.43,0,5492.43,0,0.43,0
2019,19,5,0,4,3,17,39445.99,5736.85,33709.13,0,1.26,0
2020,44,5,0,4,3,7,9508.49,576.76,8931.73,0,3.67,0
2017,38,1,0,1,3,10,18104.25,4041.49,14062.75,0,1.4,0
2017,23,1,0,1,4,2,303.92,8.41,295.5,0,3.33,0
2018,27,2,0,4,3,32,50015.68,13298.51,12580.43,24136.74,1.29,0
2017,38,5,0,4,3,15,27964.46,2218.8,6522.41,19223.25,0.41,0
2017,37,5,0,4,4,2,129.93,0,129.93,0,1.04,0
2020,34,1,0,1,3,50,122208.23,23030.98,99177.24,0,1.84,3
2019,13,1,0,1,4,3,671.08,7.94,663.14,0,2.49,0
2019,28,1,0,1,4,6,13776.47,0,13776.47,0,3.18,0
2018,38,5,0,4,3,14,30551.02,4054.46,26496.56,0,1.13,0
2017,5,1,0,1,4,6,11673.87,2335.57,9338.3,0,3.27,0
2019,48,1,0,1,3,11,23057.29,3996.14,19061.15,0,2.24,0
2017,37,1,0,1,4,4,1219.14,0,1219.14,0,NA,0
2019,9,1,0,1,3,5,11840.92,2869.53,0,8971.4,3.59,0
2020,34,5,0,4,4,2,3374.49,1687.24,1687.24,0,0.13,0
2017,22,1,0,1,4,2,1320.27,0,1320.27,0,3.08,0
2018,45,1,0,1,3,3,5373.83,0,5373.83,0,1.89,2
2020,22,1,0,1,3,10,20865.71,2418.69,18447.02,0,2.09,0
2020,41,2,0,4,6,4,1675.36,0,1675.36,0,3.58,0
2017,29,1,0,1,4,4,6283.47,0,6283.47,0,2.17,0
2018,7,5,0,4,3,49,110927.65,12951.36,54812.75,43163.53,1.28,2
2019,13,1,0,1,4,3,1250.76,5.98,1244.78,0,2.17,0
2019,22,1,0,1,4,2,1515.94,489.98,1025.96,0,3.17,0
2020,33,1,0,1,4,2,799.74,0,799.74,0,3.67,0
2019,24,5,0,4,3,63,143943.31,14340.73,17314.68,112287.9,3.91,3
2020,3,5,0,4,3,9,19985.13,4289.02,15696.1,0,0.45,0
2017,43,5,0,4,4,15,6526.25,1322.59,5203.66,0,0.17,0
2018,1,1,0,1,4,4,4590.01,0,4590.01,0,2.46,0
2017,23,1,0,1,4,2,1874.97,0,1874.97,0,1.9,0
2017,22,5,0,4,3,72,168925.61,21128.7,52025.8,95771.11,0.31,5
2018,38,5,0,4,3,14,29634.51,2228.89,27405.62,0,1.03,0
2018,43,5,0,4,4,4,1512.68,0,1512.68,0,1.07,0
2020,28,1,0,1,3,5,12507.28,0,12507.28,0,NA,0
2017,24,5,0,4,6,1,58.67,0,58.67,0,3.66,0
2017,30,5,0,4,4,4,3124.86,460.06,2664.79,0,1.03,0
2019,2,1,0,1,3,8,15665.89,1904.23,0,13761.66,2.12,0
2020,17,4,3.61,4,7,5,11204.14,0,0,11204.14,3.52,0
2020,14,5,0,4,3,165,351014.49,24773.75,170849.29,155391.45,0.42,4
2019,48,1,0,1,3,10,18743.93,2079.55,16664.38,0,1.56,0
2018,38,5,0,4,3,10,27124.21,2834.62,13848.37,10441.23,0.84,0
2020,14,5,0,4,3,15,27775.71,3418.32,7144.75,17212.63,0.28,0
2018,27,1,0,1,3,1,2382.62,0,2382.62,0,2.24,0
2018,38,4,0,3,1,1,34.26,0,0,34.26,2.44,0
2019,14,4,0,4,1,59,141400.22,8318.72,133081.5,0,3.76,3
2020,2,5,0,4,3,11,32398.45,4590.21,27808.24,0,0.09,0
2017,33,3,0,3,6,4,99.88,0,0,99.88,1.36,3
2017,28,1,0,1,4,3,5877.52,0,5877.52,0,1.65,0
2019,37,5,0,4,3,5,10077.55,2227.25,7850.3,0,0.92,0
2020,46,2,0,4,4,8,8453.78,376.39,8077.38,0,3.88,2
2020,6,1,0,1,3,24,16607.1,824.65,15782.45,0,2.04,0
2017,23,5,0,4,4,3,1086.85,3.95,1082.89,0,1.17,2
2018,23,1,0,1,4,3,506.81,6.08,500.73,0,3.05,0
2019,18,1,0,1,3,2,388.64,0,388.64,0,2.26,0
2018,38,5,0,4,3,14,26262.95,5432.06,20830.89,0,3.98,1
2020,22,1,0,1,3,3,6593.61,1892.44,4701.16,0,2.36,0
2020,14,1,0,1,4,3,3408.42,0,3408.42,0,3.16,0
2019,6,3,0,4,4,2,2925.64,0,2925.64,0,3.78,0
2018,10,5,0,4,3,7,11801.68,0,11801.68,0,1.28,0
2019,19,5,0,4,4,5,7589.16,0,352.29,7236.87,1.18,0
2019,23,1,0,1,4,5,2902.71,4,2898.71,0,NA,0
2018,15,1,0,1,4,6,7665.52,1534.5,0,6131.02,3.05,0
2019,34,1,0,1,4,2,781.87,287.02,494.86,0,3,0
2017,27,1,0,1,3,8,13100.82,3547.45,9553.37,0,3.98,0
2018,14,1,0,1,4,1,1173.84,0,0,1173.84,2.32,0
2020,9,5,0,4,3,39,94279.9,22838.28,13502.98,57938.64,0.9,0
2019,18,1,0,1,3,15,41288.36,4568.26,0,36720.1,2.77,1
2017,33,1,0,1,6,4,2624.94,484.77,2140.17,0,3.58,0
2017,28,1,0,1,4,5,15823.26,0,15823.26,0,NA,1
2020,10,5,0,4,3,9,18747.67,4205.5,4362.55,10179.62,0.83,0
2020,47,1,0,1,4,3,989.3,0,989.3,0,2.92,0
2020,27,1,0,1,3,6,13845.75,0,13845.75,0,3.4,0
2020,35,1,0,1,3,12,23497.57,4814.96,18682.61,0,1.86,2
2018,19,1,0,1,4,1,47.95,47.95,0,0,2.3,0
2019,44,1,0,1,3,4,7366.21,1563.01,5803.19,0,3.36,0
2020,26,5,0,4,4,3,3041.83,0,3041.83,0,1.13,0
2020,23,5,0,4,4,4,8791.2,0,8791.2,0,0.66,0
2020,44,1,0,1,6,8,14755.42,2278.92,12476.5,0,3.5,0
2019,12,5,0,4,3,5,4088.01,0,4088.01,0,0.6,0
2017,30,5,0,4,4,7,11311.28,2270.26,9041.02,0,0.7,0
2019,12,1,0,1,3,2,2212.82,1113.39,1099.43,0,2.05,0
2017,5,1,0,1,4,2,2546.26,0,2546.26,0,1.77,0
2020,5,5,0,4,3,9,17785.57,3329.48,14456.09,0,1.14,0
2019,17,4,0,4,7,19,8297.2,0,8297.2,0,0.13,0
2019,6,1,0,1,3,2,4639.49,1484.88,3154.61,0,2.38,0
2019,46,5,0,3,3,2,6093.4,0,0,6093.4,0.28,0
2020,22,1,0,1,4,8,2206.52,447.69,1758.84,0,3.29,0
2019,17,4,0,3,2,23,54858.19,0,0,54858.19,NA,4
2019,44,4,5.06,4,2,62,112128.75,3576.18,108552.57,0,3.94,0
2020,19,1,0,1,3,7,12139.68,2270.56,9869.12,0,1.44,0
2018,30,1,0,1,4,4,1825.35,554.67,1270.69,0,2.7,0
2019,6,3,0,2,3,545,1140278.32,159787.17,0,980491.15,0.77,7
2019,23,1,0,1,4,4,746.2,3.96,742.24,0,2.1,0
2019,43,5,0,4,3,5,9614.58,2317.45,5467.35,1829.78,0.93,0
2017,23,2,0,4,4,4,494.05,40.33,453.72,0,NA,0
2019,35,1,0,1,3,4,10076.87,2127.71,7949.17,0,2.33,0
2019,38,5,0,4,4,7,2638.61,709.89,1928.71,0,0.44,0
2020,40,5,0,4,3,12,27337.94,2901.46,24436.47,0,NA,0
2017,13,1,0,1,4,3,110.08,3.64,106.44,0,2.64,0
2017,28,1,0,1,4,9,9558.34,2172.44,7385.9,0,2.71,0
2020,10,5,0,4,3,18,51911.47,9029.08,18234.17,24648.22,0.73,0
2019,22,1,0,1,4,2,65.31,20.74,44.56,0,2.52,0
2020,38,5,0,4,3,33,86827.81,12800,33579.63,40448.17,NA,2
2020,30,5,0,4,3,18,43491.55,2441.26,41050.3,0,0.29,0
2017,44,1,0,1,3,2,1888.13,0,1888.13,0,3.33,0
2019,4,2,0,4,3,3,4327.14,0,4327.14,0,1.39,0
2018,30,5,0,4,4,5,7746.47,374.83,7371.64,0,0.84,0
2018,46,1,0,1,3,5,8346.7,853.64,7493.06,0,1.96,0
2017,13,1,0,1,3,18,25289.45,0,25289.45,0,1.95,0
2020,23,5,0,4,4,3,1478.36,0,1478.36,0,0.12,0
2020,48,5,0,4,4,2,598.11,0,0,598.11,0.2,0
2020,46,5,0,4,6,4,5308.11,2351.73,1788.99,1167.39,0.58,0
2019,24,5,0,4,4,13,15148.85,4607.39,7961.13,2580.34,0.2,0
2019,27,3,0,4,3,9,14801.02,5174.31,2247.7,7379.01,0.42,0
2017,41,1,0,1,3,7,12410.73,1656.56,10754.16,0,2.86,0
2020,43,5,0,4,3,6,3080.28,401.6,2678.68,0,0.51,0
2018,34,5,0,4,4,6,11367.61,1909.91,9457.7,0,1.09,0
2019,8,1,0,1,3,6,13440.89,2476.32,10964.57,0,1.63,0
2019,28,1,0,1,4,3,969.02,0,969.02,0,2.53,0
2017,13,1,0,1,4,1,565.7,0,565.7,0,1.67,0
2020,45,2,0,4,3,34,65523.85,13154.38,3974.72,48394.75,NA,3
2018,3,1,0,1,3,6,13397.66,2596.06,0,10801.6,1.78,0
2017,17,4,0,3,1,23,47225.84,0,0,47225.84,1.68,3
2018,38,2,0,4,4,1,945.88,0,945.88,0,0.63,0
2018,10,5,0,4,6,2,498.15,0,498.15,0,1.18,0
2020,42,1,0,1,4,3,596.44,0,596.44,0,3.58,0
